city,period,mom_index_last_month_100,yoy_index_same_month_last_year_100,avg_index_jan_dec_last_year_100,mom_change_percent,yoy_change_percent,source,population_2020_census,population_source
Chengdu,2025-12,99.3,98.2,99.1,-0.7,-1.8,NBS official table I,13568357,"China Seventh National Census (2020), city-level urban aggregates"
Huizhou,2025-12,99.5,96.4,95.7,-0.5,-3.6,NBS official table I,2900113,"China Seventh National Census (2020), city-level urban aggregates"
Guiyang,2025-12,99.7,96.7,96.0,-0.3,-3.3,NBS official table I,4021275,"China Seventh National Census (2020), city-level urban aggregates"
Guilin,2025-12,99.2,95.6,96.6,-0.8,-4.4,NBS official table I,1361244,"China Seventh National Census (2020), city-level urban aggregates"
Kunming,2025-12,99.4,94.2,93.4,-0.6,-5.8,NBS official table I,5273144,"China Seventh National Census (2020), city-level urban aggregates"
Beihai,2025-12,99.3,93.8,93.9,-0.7,-6.2,NBS official table I,,"China Seventh National Census (2020), city-level urban aggregates"
Xi’an,2025-12,99.5,94.4,96.3,-0.5,-5.6,NBS official table I,9392938,"China Seventh National Census (2020), city-level urban aggregates"
Sanya,2025-12,100.1,99.4,98.4,0.1,-0.6,NBS official table I,,"China Seventh National Census (2020), city-level urban aggregates"
Lanzhou,2025-12,99.2,95.9,94.3,-0.8,-4.1,NBS official table I,3012577,"China Seventh National Census (2020), city-level urban aggregates"
Luzhou,2025-12,99.1,94.1,93.8,-0.9,-5.9,NBS official table I,1128479,"China Seventh National Census (2020), city-level urban aggregates"
Xining,2025-12,99.7,96.9,95.5,-0.3,-3.1,NBS official table I,1677177,"China Seventh National Census (2020), city-level urban aggregates"
Nanchong,2025-12,99.5,96.4,97.2,-0.5,-3.6,NBS official table I,1254455,"China Seventh National Census (2020), city-level urban aggregates"
Yinchuan,2025-12,99.8,96.5,96.4,-0.2,-3.5,NBS official table I,1662968,"China Seventh National Census (2020), city-level urban aggregates"
Zunyi,2025-12,99.8,97.4,96.9,-0.2,-2.6,NBS official table I,1675245,"China Seventh National Census (2020), city-level urban aggregates"
Urumqi,2025-12,99.8,100.6,99.2,-0.2,0.6,NBS official table I,3842560,"China Seventh National Census (2020), city-level urban aggregates"
Dali,2025-12,99.8,95.6,94.5,-0.2,-4.4,NBS official table I,,"China Seventh National Census (2020), city-level urban aggregates"
