country,region,ewaste_generated_million_kg_2022,ewaste_generated_kg_per_capita_2022,ewaste_documented_collected_million_kg_2022,source_report
Kuwait,Asia,71.0,16.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Kyrgyzstan,Asia,14.0,2.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Lao People's,Asia,27.0,3.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Latvia,Europe,22.0,11.9,11.6,Global E-waste Monitor 2024 (UNITAR/ITU)
Lebanon,Asia,60.0,10.7,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Lesotho,Africa,3.0,1.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Liberia,Africa,3.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Libya,Africa,94.0,13.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Lithuania,Europe,37.0,13.4,16.7,Global E-waste Monitor 2024 (UNITAR/ITU)
Luxembourg,Europe,13.0,20.9,6.8,Global E-waste Monitor 2024 (UNITAR/ITU)
Madagascar,Africa,19.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Malawi,Africa,11.0,0.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Malaysia,Asia,411.0,12.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Maldives,Asia,5.0,10.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Mali,Africa,20.0,0.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Malta,Europe,8.0,14.1,3.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Marshall,Oceania,0.0,3.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Mauritania,Africa,12.0,2.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Mauritius,Africa,16.0,12.1,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Mexico,Americas,1499.0,11.8,52.6,Global E-waste Monitor 2024 (UNITAR/ITU)
Micronesia,Oceania,0.0,1.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Mongolia,Asia,20.0,5.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Montenegro,Europe,8.0,13.0,0.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Morocco,Africa,177.0,4.8,,Global E-waste Monitor 2024 (UNITAR/ITU)
Mozambique,Africa,20.0,0.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Myanmar,Asia,76.0,1.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Namibia,Africa,17.0,6.8,0.03,Global E-waste Monitor 2024 (UNITAR/ITU)
Nauru,Oceania,0.0,6.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Nepal,Asia,42.0,1.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Netherlands,Europe,387.0,22.1,228.5,Global E-waste Monitor 2024 (UNITAR/ITU)
New Zealand,Oceania,101.0,19.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Nicaragua,Americas,21.0,3.0,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Niger,Africa,14.0,0.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Nigeria,Africa,497.0,2.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Norway,Europe,145.0,26.8,107.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Oman,Asia,71.0,15.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Pakistan,Asia,559.0,2.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Palau,Oceania,0.0,12.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Panama,Americas,54.0,12.4,0.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Papua New,Oceania,13.0,1.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Paraguay,Americas,57.0,8.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Peru,Americas,221.0,6.5,3.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Philippines,Asia,537.0,4.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Poland,Europe,517.0,13.5,417.8,Global E-waste Monitor 2024 (UNITAR/ITU)
Portugal,Europe,183.0,17.8,60.3,Global E-waste Monitor 2024 (UNITAR/ITU)
Puerto Rico,Americas,65.0,20.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Qatar,Asia,44.0,16.2,0.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Republic of,Asia,930.0,17.9,443.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Romania,Europe,250.0,13.0,71.5,Global E-waste Monitor 2024 (UNITAR/ITU)
Russian,Europe,1910.0,13.2,120.8,Global E-waste Monitor 2024 (UNITAR/ITU)
Rwanda,Africa,10.0,0.7,2.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Saint Kitts,Americas,1.0,15.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Saint Lucia,Americas,2.0,11.4,0.03,Global E-waste Monitor 2024 (UNITAR/ITU)
Saint,Americas,1.0,10.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Samoa,Oceania,1.0,3.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
San Marino,Europe,1.0,22.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Saudi Arabia,Asia,617.0,17.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Senegal,Africa,25.0,1.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Serbia,Europe,81.0,11.1,31.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Seychelles,Africa,1.0,13.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Sierra Leone,Africa,6.0,0.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Singapore,Asia,121.0,20.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Slovakia,Europe,84.0,15.4,47.3,Global E-waste Monitor 2024 (UNITAR/ITU)
Slovenia,Europe,36.0,17.0,15.1,Global E-waste Monitor 2024 (UNITAR/ITU)
Solomon,Oceania,1.0,1.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Somalia,Africa,9.0,0.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
South Africa,Africa,527.0,8.8,22.9,Global E-waste Monitor 2024 (UNITAR/ITU)
South Sudan,Africa,15.0,1.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Spain,Europe,935.0,19.6,395.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Sri Lanka,Asia,175.0,8.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Sudan,Africa,103.0,2.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Suriname,Americas,7.0,11.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Swaziland,Africa,7.0,6.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Sweden,Europe,221.0,21.0,151.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Switzerland,Europe,204.0,23.4,129.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Syrian Arab,Asia,121.0,5.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Taiwan,Asia,463.0,19.4,145.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Tajikistan,Asia,12.0,1.2,0.11,Global E-waste Monitor 2024 (UNITAR/ITU)
Thailand,Asia,753.0,10.5,29.0,Global E-waste Monitor 2024 (UNITAR/ITU)
The former,Europe,21.0,10.0,3.4,Global E-waste Monitor 2024 (UNITAR/ITU)
Timor-Leste,Asia,2.0,1.6,,Global E-waste Monitor 2024 (UNITAR/ITU)
Togo,Africa,8.0,0.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Tonga,Oceania,0.0,4.0,,Global E-waste Monitor 2024 (UNITAR/ITU)
Trinidad and Tobago,Americas,24.0,15.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Tunisia,Africa,85.0,6.9,,Global E-waste Monitor 2024 (UNITAR/ITU)
Turkey,Asia,1077.0,12.7,186.9,Global E-waste Monitor 2024 (UNITAR/ITU)
Turkme-,Asia,46.0,7.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Tuvalu,Oceania,0.0,2.4,,Global E-waste Monitor 2024 (UNITAR/ITU)
Uganda,Africa,41.0,0.9,0.2,Global E-waste Monitor 2024 (UNITAR/ITU)
Ukraine,Europe,385.0,8.9,31.2,Global E-waste Monitor 2024 (UNITAR/ITU)
United Arab Emirates,Asia,178.0,18.9,5.4,Global E-waste Monitor 2024 (UNITAR/ITU)
United Kingdom,Europe,1652.0,24.5,501.9,Global E-waste Monitor 2024 (UNITAR/ITU)
Uruguay,Americas,44.0,12.9,1.3,Global E-waste Monitor 2024 (UNITAR/ITU)
Uzbekistan,Asia,128.0,3.7,,Global E-waste Monitor 2024 (UNITAR/ITU)
Vanuatu,Oceania,0.0,1.2,,Global E-waste Monitor 2024 (UNITAR/ITU)
Venezuela,Americas,303.0,10.8,1.0,Global E-waste Monitor 2024 (UNITAR/ITU)
Viet Nam,Asia,516.0,5.3,,Global E-waste Monitor 2024 (UNITAR/ITU)
Yemen,Asia,49.0,1.5,,Global E-waste Monitor 2024 (UNITAR/ITU)
Zambia,Africa,23.0,1.1,,Global E-waste Monitor 2024 (UNITAR/ITU)
Zimbabwe,Africa,17.0,1.1,0.03,Global E-waste Monitor 2024 (UNITAR/ITU)
